world_x,world_y,world_heading,local_vx,local_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake
0.10199669,-63.90597534,-90.56694794,12.76485249,0.03116097,0.139867545,1.10669744,0.008325388,1,0,0
0.098900057,-64.75636292,-90.54050446,12.83988552,0.039657463,0.176964043,1.472543478,0.009466835,1,0,0
0.097746857,-65.81589508,-90.47318268,12.98100224,0.050553792,0.223134108,2.074385166,0.01017186,1,0,0
0.098939434,-66.64453888,-90.35453796,13.16736569,0.054509812,0.237189767,2.636500835,0.010138287,1,0,0
0.103195474,-67.71282196,-90.20560455,13.36684749,0.053623391,0.229850575,3.003236532,0.010071142,1,0,0
0.108748712,-68.5608902,-90.15527344,13.42942695,0.052053774,0.222082944,3.074832678,0.00980256,1,0,0
0.119464278,-69.72112274,-90.05487061,13.55331721,0.045176679,0.19098081,3.071387768,0.007989672,1,0,0
0.129820511,-70.58752441,-89.91721344,13.73793903,0.024501623,0.102186952,2.613431692,0.003356946,1,0,0
0.147031218,-71.75991821,-89.82377625,13.91190142,-0.004046754,-0.016666443,1.673128843,-0.001712038,1,0,0
0.165984511,-72.83200836,-89.77210999,14.09799406,-0.025827364,-0.104965099,0.664326191,-0.003323376,1,0,0
0.188259333,-73.9160614,-89.76544189,14.15875776,-0.029079527,-0.117675001,0.403335512,-0.003323376,1,0,0
0.209412187,-74.82750702,-89.76229095,14.27412191,-0.031758574,-0.127477492,0.004038189,-0.003323376,1,0,0
0.234311372,-75.82906342,-89.77748108,14.46280264,-0.031095116,-0.123186094,-0.443923712,-0.003323376,1,0,0
0.257904053,-76.81265259,-89.79808807,14.59126674,-0.028926845,-0.113587394,-0.648585141,-0.003323376,1,0,0
0.281400263,-77.81317902,-89.80934906,14.64802219,-0.027661051,-0.108196151,-0.721553087,-0.003323376,1,0,0
0.304620713,-78.82870483,-89.82239532,14.70921257,-0.026402486,-0.10284367,-0.787103355,-0.003323376,1,0,0
0.329541236,-79.95655823,-89.85040283,14.82677148,-0.023838999,-0.09212207,-0.890532494,-0.003323376,1,0,0
0.348123938,-80.87421417,-89.89641571,14.99821984,-0.020223086,-0.07725562,-0.99700886,-0.003323376,1,0,0
0.366894215,-81.98204041,-89.94590759,15.16648122,-0.01704302,-0.064384924,-1.066941023,-0.003323376,1,0,0
0.379480094,-82.89048004,-89.9995575,15.33877075,-0.014550106,-0.054349819,-1.113856196,-0.003323376,1,0,0
0.390431821,-83.90021515,-90.05498505,15.50953301,-0.012513512,-0.046227779,-1.145970464,-0.003323376,1,0,0
0.398374468,-84.95202637,-90.07316589,15.56446008,-0.011938316,-0.043947236,-1.154223323,-0.003323376,1,0,0
0.403171837,-86.17736816,-90.11034393,15.67501879,-0.010903949,-0.039856421,-1.168366075,-0.003323376,1,0,0
0.403150976,-87.40451813,-90.16522217,15.83529601,-0.009692505,-0.035069733,-1.184632063,-0.003323376,1,0,0
0.398880065,-88.52565002,-90.22076416,15.99436445,-0.008713016,-0.03121218,-1.197619438,-0.003323376,1,0,0
0.391803235,-89.50378418,-90.27783966,16.15496369,-0.007874143,-0.027926718,-1.208783388,-0.003323376,1,0,0
0.381887585,-90.45704651,-90.33428192,16.3114367,-0.007184463,-0.025236244,-1.218487501,-0.003323376,1,0,0
0.368809283,-91.42180634,-90.37200928,16.41467744,-0.006758428,-0.023590436,-1.224506617,-0.003323376,1,0,0
0.352821291,-92.37845612,-90.39377594,16.47375215,-0.006547034,-0.022770609,-1.227798343,-0.003323376,1,0,0
0.33657977,-93.20550537,-90.41352081,16.52706088,-0.006347803,-0.022006473,-1.230745435,-0.003323376,1,0,0
0.312903136,-94.24849701,-90.45219421,16.63084621,-0.005931504,-0.020434926,-1.236534357,-0.003323376,1,0,0
0.292076498,-95.05741882,-90.5112915,16.78738087,-0.005323046,-0.018167699,-1.24501586,-0.003323376,1,0,0
0.268180758,-95.89655304,-90.57105255,16.94355772,-0.004741994,-0.016035371,-1.253538489,-0.003323376,1,0,0
0.240583584,-96.77490234,-90.63005066,17.09569167,-0.004177576,-0.014001041,-1.261887431,-0.003323376,1,0,0
0.209027976,-97.65074921,-90.69070435,17.25001657,-0.0035663,-0.011845435,-1.270374894,-0.003323376,1,0,0
0.170366243,-98.57901764,-90.71120453,17.30183741,-0.003365477,-0.011144923,-1.27321589,-0.003323376,1,0,0
0.12464603,-99.46485901,-90.75106049,17.40198375,-0.00296801,-0.009772131,-1.278700352,-0.003323376,1,0,0
0.069589086,-100.2780075,-90.81725311,17.56674255,-0.002329431,-0.007597683,-1.287653923,-0.003323376,1,0,0
-0.008416113,-101.1108856,-90.87991333,17.72089958,-0.001664161,-0.005380619,-1.295997858,-0.003323376,1,0,0
-0.109018058,-101.9243622,-90.90020752,17.77046909,-0.001429001,-0.004607402,-1.298701644,-0.003323376,1,0,0
-0.234118089,-102.776207,-90.94155121,17.87108555,-0.000998978,-0.003202783,-1.304075837,-0.003323376,1,0,0
-0.375889719,-103.6131744,-91.00241089,18.0178727,-0.000298784,-0.000950117,-1.311929107,-0.003323376,1,0,0
